,Line number,Station number,Datetime,time stamp (ms),conductivity (mS/m),In-phase (ppt),Latitude (deg),Longitude (deg),Altitude (m)
2440,0,0.0,2025-01-24 13:48:14.201043-07:00,65448993,-0.14,-32.2,39.751044493415,-105.22192975419166,1762.829957
2441,0,0.0,2025-01-24 13:48:15.200222-07:00,65449172,-0.14,-32.1,39.75104373057667,-105.22193127718333,1762.829778
2442,0,0.0,2025-01-24 13:48:15.200401-07:00,65449351,-0.14,-32.125,39.751042967738336,-105.221932800175,1762.829599
2443,0,0.0,2025-01-24 13:48:15.200580-07:00,65449530,-0.14,-32.375,39.751042204899996,-105.22193432316666,1762.82942
2444,0,0.0,2025-01-24 13:48:15.200759-07:00,65449709,-0.14250000000000002,-32.0,39.75104144206166,-105.22193584615833,1762.829241
2445,0,0.0,2025-01-24 13:48:15.200938-07:00,65449888,-0.14250000000000002,-31.900000000000002,39.75104067922333,-105.22193736915,1762.829062
2446,0,0.0,2025-01-24 13:48:16.200117-07:00,65450067,-0.14,-31.6,39.75103990278443,-105.22193870975049,1762.8279491017963
2447,0,0.0,2025-01-24 13:48:16.200296-07:00,65450246,-0.14,-31.1,39.75103911913839,-105.22193995369926,1762.8263413173652
2448,0,0.0,2025-01-24 13:48:16.200475-07:00,65450425,-0.14,-30.5,39.751038335492346,-105.22194119764804,1762.824733532934
2449,0,0.0,2025-01-24 13:48:16.200654-07:00,65450604,-0.14,-30.200000000000003,39.7510375518463,-105.2219424415968,1762.823125748503
2450,0,0.0,2025-01-24 13:48:16.200833-07:00,65450783,-0.14250000000000002,-30.1,39.751036768200265,-105.22194368554557,1762.8215179640717
2451,0,0.0,2025-01-24 13:48:16.201013-07:00,65450963,-0.15,-30.1,39.75103606029824,-105.22194489730671,1762.8199289449399
2452,0,0.0,2025-01-24 13:48:17.200190-07:00,65451142,-0.15,-30.200000000000003,39.751036580454475,-105.2219455043889,1762.8187726853275
2453,0,0.0,2025-01-24 13:48:17.200369-07:00,65451321,-0.15,-30.400000000000002,39.75103710061071,-105.22194611147108,1762.8176164257152
2454,0,0.0,2025-01-24 13:48:17.212276-07:00,65463228,-0.18,-30.8,39.75107170117092,-105.22198649430636,1762.7407025530606
2455,0,0.0,2025-01-24 13:48:17.212455-07:00,65463407,-0.18,-31.225,39.751072221327156,-105.22198710138855,1762.7395462934483
2456,0,0.0,2025-01-24 13:48:17.212634-07:00,65463586,-0.18,-31.900000000000002,39.75107274148339,-105.22198770847072,1762.738390033836
2457,0,0.0,2025-01-24 13:48:17.212813-07:00,65463765,-0.18,-32.9,39.751073261639625,-105.2219883155529,1762.7372337742233
2458,0,0.0,2025-01-24 13:48:17.212992-07:00,65463944,-0.1875,-34.025,39.75107378179586,-105.22198892263508,1762.736077514611
2459,0,0.0,2025-01-24 13:48:30.200167-07:00,65464123,-0.1875,-34.9,39.75107431542881,-105.22198782006868,1762.729789949749
2460,0,0.0,2025-01-24 13:48:30.200346-07:00,65464302,-0.18,-35.300000000000004,39.75107485003015,-105.22198659465326,1762.7231336683417
2461,0,0.0,2025-01-24 13:48:30.200525-07:00,65464481,-0.18,-35.6,39.75107538463149,-105.22198536923786,1762.7164773869347
2462,0,0.0,2025-01-24 13:48:30.200704-07:00,65464660,-0.18,-35.7,39.75107591923283,-105.22198414382244,1762.7098211055277
2463,0,0.0,2025-01-24 13:48:30.200883-07:00,65464839,-0.1775,-35.7,39.75107645383417,-105.22198291840704,1762.7031648241207
2464,0,0.0,2025-01-24 13:48:30.201062-07:00,65465018,-0.17,-35.5,39.751077091508336,-105.22198151148166,1762.698464
2465,0,0.0,2025-01-24 13:48:31.200246-07:00,65465197,-0.17,-35.300000000000004,39.751077901483335,-105.22197980113667,1762.697032
2466,0,0.0,2025-01-24 13:48:31.200426-07:00,65465377,-0.17,-35.0,39.75107871598333,-105.22197808123666,1762.695592
2467,0,0.0,2025-01-24 13:48:31.200605-07:00,65465556,-0.17,-33.9,39.75107952595833,-105.22197637089167,1762.69416
2468,0,0.0,2025-01-24 13:48:31.200784-07:00,65465735,-0.17,-32.625,39.75108033593333,-105.22197466054666,1762.692728
2469,0,0.0,2025-01-24 13:48:31.200963-07:00,65465914,-0.1675,-31.450000000000003,39.75108114590833,-105.22197295020166,1762.691296
2470,0,0.0,2025-01-24 13:48:32.200142-07:00,65466093,-0.1675,-30.3,39.7510820082169,-105.22197119886893,1762.691992015968
2471,0,0.0,2025-01-24 13:48:32.200321-07:00,65466272,-0.17,-29.875,39.751082884161676,-105.22196943685628,1762.69324251497
2472,0,0.0,2025-01-24 13:48:32.200500-07:00,65466451,-0.17,-30.450000000000003,39.751083760106454,-105.22196767484364,1762.694493013972
2473,0,0.0,2025-01-24 13:48:32.200679-07:00,65466630,-0.17,-30.900000000000002,39.751084636051225,-105.221965912831,1762.695743512974
2474,0,0.0,2025-01-24 13:48:32.200858-07:00,65466809,-0.17,-31.3,39.751085511996,-105.22196415081835,1762.6969940119761
2475,0,0.0,2025-01-24 13:48:32.201037-07:00,65466988,-0.1625,-31.700000000000003,39.75108642092092,-105.22196236873539,1762.6964234234235
2476,0,0.0,2025-01-24 13:48:33.200214-07:00,65467167,-0.16,-31.900000000000002,39.751087465535534,-105.2219605040774,1762.6883603603605
2477,0,0.0,2025-01-24 13:48:33.200393-07:00,65467346,-0.16,-31.425,39.75108851015015,-105.22195863941941,1762.6802972972973
2478,0,0.0,2025-01-24 13:48:33.200572-07:00,65467525,-0.15,-31.400000000000002,39.75108955476476,-105.22195677476142,1762.6722342342343
2479,0,0.0,2025-01-24 13:48:33.200751-07:00,65467704,-0.15,-31.5,39.751090599379374,-105.22195491010343,1762.6641711711711
2480,0,0.0,2025-01-24 13:48:33.200930-07:00,65467883,-0.14,-31.1,39.75109164399399,-105.22195304544545,1762.6561081081081
2481,0,0.0,2025-01-24 13:48:34.200112-07:00,65468064,-0.14,-31.0,39.75109264526806,-105.22195122587412,1762.6551258741258
2482,0,0.0,2025-01-24 13:48:34.200289-07:00,65468241,-0.14,-30.900000000000002,39.75109359127206,-105.22194948622878,1762.6584855144856
2483,0,0.0,2025-01-24 13:48:34.200468-07:00,65468420,-0.1325,-30.3,39.751094547965366,-105.22194772692642,1762.6618831168832
2484,0,0.0,2025-01-24 13:48:34.200647-07:00,65468599,-0.13,-29.650000000000002,39.75109550465867,-105.22194596762405,1762.6652807192806
2485,0,0.0,2025-01-24 13:48:34.200826-07:00,65468778,-0.1325,-29.400000000000002,39.75109646135198,-105.22194420832169,1762.6686783216783
2486,0,0.0,2025-01-24 13:48:34.201005-07:00,65468957,-0.14,-29.1,39.75109741719176,-105.22194244780825,1762.6719361914259
2487,0,0.0,2025-01-24 13:48:35.200183-07:00,65469136,-0.14,-28.900000000000002,39.7510983356896,-105.2219406343104,1762.6690807577268
2488,0,0.0,2025-01-24 13:48:35.200362-07:00,65469315,-0.145,-28.900000000000002,39.75109925418744,-105.22193882081257,1762.666225324028
2489,0,0.0,2025-01-24 13:48:35.200541-07:00,65469494,-0.15,-28.8,39.75110017268528,-105.22193700731472,1762.663369890329
2490,0,0.0,2025-01-24 13:48:35.200720-07:00,65469673,-0.15,-28.375,39.751101091183116,-105.22193519381688,1762.6605144566302
2491,0,0.0,2025-01-24 13:48:35.200899-07:00,65469852,-0.15,-28.3,39.751102009680956,-105.22193338031904,1762.657659022931
2492,0,0.0,2025-01-24 13:48:35.201078-07:00,65470031,-0.15,-28.6,39.751102917203816,-105.22193148103413,1762.6539668674698
2493,0,0.0,2025-01-24 13:48:36.200254-07:00,65470210,-0.1525,-28.275000000000002,39.75110380950803,-105.22192946279115,1762.6491144578313
2494,0,0.0,2025-01-24 13:48:36.200433-07:00,65470389,-0.15,-28.1,39.751104701812245,-105.22192744454819,1762.6442620481928
2495,0,0.0,2025-01-24 13:48:36.200612-07:00,65470568,-0.15,-27.900000000000002,39.75110559411647,-105.22192542630522,1762.639409638554
2496,0,0.0,2025-01-24 13:48:36.200791-07:00,65470747,-0.15,-27.3,39.75110648642068,-105.22192340806224,1762.6345572289156
2497,0,0.0,2025-01-24 13:48:36.200970-07:00,65470926,-0.14,-27.200000000000003,39.7511073787249,-105.22192138981927,1762.629704819277
2498,0,0.0,2025-01-24 13:48:37.200153-07:00,65471105,-0.14,-27.6,39.751108275371294,-105.22191935599234,1762.621816183816
2499,0,0.0,2025-01-24 13:48:37.200332-07:00,65471284,-0.14,-27.700000000000003,39.75110917275558,-105.22191731951715,1762.6134115884115
2500,0,0.0,2025-01-24 13:48:37.200511-07:00,65471463,-0.13,-28.0,39.75111007013986,-105.22191528304195,1762.605006993007
2501,0,0.0,2025-01-24 13:48:37.200690-07:00,65471642,-0.13,-28.3,39.75111096752414,-105.22191324656676,1762.5966023976025
2502,0,0.0,2025-01-24 13:48:37.200869-07:00,65471821,-0.13,-28.3,39.751111864908424,-105.22191121009158,1762.5881978021978
2503,0,0.0,2025-01-24 13:48:37.201047-07:00,65471999,-0.12,-28.3,39.75111272163661,-105.22190921276552,1762.5815851703408
2504,0,0.0,2025-01-24 13:48:38.200225-07:00,65472178,-0.12,-28.6,39.75111348032398,-105.22190728436038,1762.5799709418839
2505,0,0.0,2025-01-24 13:48:38.200404-07:00,65472357,-0.12,-28.3,39.75111423901136,-105.22190535595524,1762.578356713427
2506,0,0.0,2025-01-24 13:48:38.200583-07:00,65472536,-0.11,-28.1,39.751114997698735,-105.2219034275501,1762.57674248497
2507,0,0.0,2025-01-24 13:48:38.200762-07:00,65472715,-0.11,-28.200000000000003,39.751115756386106,-105.22190149914495,1762.5751282565132
2508,0,0.0,2025-01-24 13:48:38.200941-07:00,65472894,-0.11,-28.3,39.751116515073484,-105.22189957073981,1762.5735140280563
2509,0,0.0,2025-01-24 13:48:39.200121-07:00,65473072,-0.11,-28.3,39.751117426466465,-105.22189778078244,1762.5722732732734
2510,0,0.0,2025-01-24 13:48:39.200300-07:00,65473251,-0.11750000000000001,-28.675,39.751118417327326,-105.22189604125124,1762.5711981981983
2511,0,0.0,2025-01-24 13:48:39.200479-07:00,65473430,-0.12,-29.325000000000003,39.75111940818819,-105.22189430172004,1762.5701231231233
2512,0,0.0,2025-01-24 13:48:39.200658-07:00,65473609,-0.12,-29.6,39.75112039904905,-105.22189256218886,1762.569048048048
2513,0,0.0,2025-01-24 13:48:39.200837-07:00,65473788,-0.1225,-29.700000000000003,39.751121389909905,-105.22189082265766,1762.567972972973
2514,0,0.0,2025-01-24 13:48:39.201016-07:00,65473967,-0.13,-29.6,39.7511223881,-105.22188907334666,1762.56683
2515,0,0.0,2025-01-24 13:48:40.200196-07:00,65474146,-0.1275,-28.8,39.75112345613333,-105.22188723084,1762.56504
2516,0,0.0,2025-01-24 13:48:40.200375-07:00,65474325,-0.125,-28.400000000000002,39.75112452416666,-105.22188538833333,1762.56325
2517,0,0.0,2025-01-24 13:48:40.200554-07:00,65474504,-0.12,-28.5,39.7511255922,-105.22188354582666,1762.5614600000001
2518,0,0.0,2025-01-24 13:48:40.200732-07:00,65474682,-0.12,-28.150000000000002,39.75112665426666,-105.22188171361333,1762.55968
2519,0,0.0,2025-01-24 13:48:40.200911-07:00,65474861,-0.12,-28.0,39.7511277223,-105.22187987110667,1762.55789
2520,0,0.0,2025-01-24 13:48:40.201090-07:00,65475040,-0.12,-28.1,39.75112878665016,-105.22187807668317,1762.5500495049505
2521,0,0.0,2025-01-24 13:48:41.200269-07:00,65475219,-0.12,-27.950000000000003,39.75112984735809,-105.22187632980858,1762.5362257425743
2522,0,0.0,2025-01-24 13:48:41.200448-07:00,65475398,-0.11,-27.5,39.75113090806601,-105.22187458293399,1762.522401980198
2523,0,0.0,2025-01-24 13:48:41.200627-07:00,65475577,-0.11,-27.475,39.751131968773926,-105.2218728360594,1762.5085782178219
2524,0,0.0,2025-01-24 13:48:41.200806-07:00,65475756,-0.11,-27.700000000000003,39.75113302948185,-105.22187108918482,1762.4947544554457
2525,0,0.0,2025-01-24 13:48:41.200985-07:00,65475935,-0.11,-27.700000000000003,39.75113409018977,-105.22186934231023,1762.4809306930692
2526,0,0.0,2025-01-24 13:48:42.200154-07:00,65476114,-0.1075,-27.8,39.751135193071235,-105.22186754125671,1762.4743427419355
2527,0,0.0,2025-01-24 13:48:42.200333-07:00,65476293,-0.1,-28.0,39.75113630279906,-105.22186573140793,1762.468929435484
2528,0,0.0,2025-01-24 13:48:42.200512-07:00,65476472,-0.1,-27.8,39.75113741252688,-105.22186392155913,1762.4635161290323
2529,0,0.0,2025-01-24 13:48:42.200691-07:00,65476651,-0.1,-27.8,39.751138522254706,-105.22186211171035,1762.4581028225807
2530,0,0.0,2025-01-24 13:48:42.200870-07:00,65476830,-0.0975,-28.3,39.751139631982525,-105.22186030186155,1762.452689516129
2531,0,0.0,2025-01-24 13:48:42.201049-07:00,65477009,-0.09,-28.200000000000003,39.75114067618333,-105.22185847249332,1762.450482
2532,0,0.0,2025-01-24 13:48:43.200235-07:00,65477187,-0.09,-28.200000000000003,39.75114157508333,-105.22185661179999,1762.45511
2533,0,0.0,2025-01-24 13:48:43.200414-07:00,65477366,-0.09,-28.200000000000003,39.751142479033334,-105.22185474065333,1762.459764
2534,0,0.0,2025-01-24 13:48:43.200593-07:00,65477545,-0.09,-27.725,39.75114338298333,-105.22185286950666,1762.464418
2535,0,0.0,2025-01-24 13:48:43.200772-07:00,65477724,-0.1,-27.3,39.75114428693333,-105.22185099836,1762.4690719999999
2536,0,0.0,2025-01-24 13:48:43.200951-07:00,65477903,-0.1,-27.3,39.751145190883335,-105.22184912721333,1762.473726
2537,0,0.0,2025-01-24 13:48:44.200130-07:00,65478082,-0.1,-27.075000000000003,39.75114614336667,-105.22184726451667,1762.4723999999999
2538,0,0.0,2025-01-24 13:48:44.200308-07:00,65478260,-0.1,-26.900000000000002,39.75114710872,-105.22184541539333,1762.46884
2539,0,0.0,2025-01-24 13:48:44.200487-07:00,65478439,-0.1,-26.8,39.751148079496666,-105.22184355588166,1762.46526
2540,0,0.0,2025-01-24 13:48:44.200666-07:00,65478618,-0.1,-26.700000000000003,39.751149050273334,-105.22184169636999,1762.46168
2541,0,0.0,2025-01-24 13:48:44.200845-07:00,65478797,-0.1,-25.875,39.75115002105,-105.22183983685834,1762.4580999999998
2542,0,0.0,2025-01-24 13:48:44.201024-07:00,65478976,-0.1,-25.400000000000002,39.7511509952002,-105.2218379859059,1762.4537747747747
2543,0,0.0,2025-01-24 13:48:45.200203-07:00,65479155,-0.1,-25.3,39.7511519911378,-105.2218361902319,1762.4446366366367
2544,0,0.0,2025-01-24 13:48:45.200381-07:00,65479333,-0.1,-25.025000000000002,39.75115298151151,-105.22183440458959,1762.4355495495495
