,Line number,Station number,marked,Datetime,time stamp (ms),conductivity (mS/m)
878,0,0.0,0,2025-01-24 13:57:43.838847,82327870,20.4775
879,0,0.0,0,2025-01-24 13:57:43.839035,82328058,20.4775
880,0,0.0,0,2025-01-24 13:57:43.839223,82328246,20.4775
881,0,0.0,0,2025-01-24 13:57:43.839412,82328435,20.4775
882,0,0.0,0,2025-01-24 13:57:43.839601,82328624,20.4775
883,0,0.0,0,2025-01-24 13:57:43.839789,82328812,20.4775
884,0,0.0,0,2025-01-24 13:57:43.839977,82329000,20.4775
885,0,0.0,0,2025-01-24 13:57:43.840166,82329189,20.4775
886,0,0.0,0,2025-01-24 13:57:43.840354,82329377,20.4775
887,0,0.0,0,2025-01-24 13:57:43.840543,82329566,20.4775
888,0,0.0,0,2025-01-24 13:57:43.840732,82329755,20.4775
889,0,0.0,0,2025-01-24 13:57:43.840920,82329943,20.4775
890,0,0.0,0,2025-01-24 13:57:43.841109,82330132,20.4775
891,0,0.0,0,2025-01-24 13:57:43.841297,82330320,20.4775
892,0,0.0,0,2025-01-24 13:57:43.841486,82330509,20.4775
893,0,0.0,0,2025-01-24 13:57:43.841674,82330697,20.4775
894,0,0.0,0,2025-01-24 13:57:43.841863,82330886,20.4775
895,0,0.0,0,2025-01-24 13:57:43.842051,82331074,20.4775
896,0,0.0,0,2025-01-24 13:57:43.842240,82331263,20.4775
897,0,0.0,0,2025-01-24 13:57:43.842428,82331451,20.4775
898,0,0.0,0,2025-01-24 13:57:43.842617,82331640,20.4775
899,0,0.0,0,2025-01-24 13:57:43.842805,82331828,20.4775
900,0,0.0,0,2025-01-24 13:57:43.842994,82332017,20.4775
901,0,0.0,0,2025-01-24 13:57:43.843182,82332205,20.4775
902,0,0.0,0,2025-01-24 13:57:43.843371,82332394,20.4775
903,0,0.0,0,2025-01-24 13:57:43.843559,82332582,20.4775
904,0,0.0,0,2025-01-24 13:57:43.843748,82332771,20.4775
905,0,0.0,0,2025-01-24 13:57:43.843936,82332959,20.4775
906,0,0.0,0,2025-01-24 13:57:43.844125,82333148,20.4775
907,0,0.0,0,2025-01-24 13:57:43.844313,82333336,20.4775
908,0,0.0,0,2025-01-24 13:57:43.844502,82333525,20.4775
909,0,0.0,0,2025-01-24 13:57:43.844690,82333713,20.4775
910,0,0.0,0,2025-01-24 13:57:43.844879,82333902,20.4775
911,0,0.0,0,2025-01-24 13:57:43.845067,82334090,20.4775
912,0,0.0,0,2025-01-24 13:57:43.845256,82334279,20.4775
913,0,0.0,0,2025-01-24 13:57:43.845444,82334467,20.4775
914,0,0.0,0,2025-01-24 13:57:43.845633,82334656,20.4775
915,0,0.0,0,2025-01-24 13:57:43.845821,82334844,20.4775
916,0,0.0,0,2025-01-24 13:57:43.846010,82335033,20.4775
917,0,0.0,0,2025-01-24 13:57:43.846198,82335221,20.4775
918,0,0.0,0,2025-01-24 13:57:43.846387,82335410,20.4775
919,0,0.0,0,2025-01-24 13:57:43.846575,82335598,20.4775
920,0,0.0,0,2025-01-24 13:57:43.846764,82335787,20.4775
921,0,0.0,0,2025-01-24 13:57:43.846952,82335975,20.4775
922,0,0.0,0,2025-01-24 13:57:43.847141,82336164,20.4775
923,0,0.0,0,2025-01-24 13:57:43.847329,82336352,20.4775
924,0,0.0,0,2025-01-24 13:57:43.847518,82336541,20.4775
925,0,0.0,0,2025-01-24 13:57:43.847707,82336730,20.4775
926,0,0.0,0,2025-01-24 13:57:43.847895,82336918,20.4775
927,0,0.0,0,2025-01-24 13:57:43.848083,82337106,20.4775
